Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
100,RandomForestentropy,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
100,RandomForestentropy,xmas,0,0,13,0,13,0,0,0,#DIV/0!,#DIV/0!
100,RandomForestentropy,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
100,RandomForestentropy,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
100,RandomForestcombined,total,16721,11315286,121856,2,11453865,0.989360971,0.215338055,0.120662159,0.999880404,0.999999823
100,RandomForestcombined,slowread,1051,0,1592,0,2643,0.397654181,0.569030861,0.397654181,1,#DIV/0!
100,RandomForestcombined,slowloris,1587,0,5524,0,7111,0.223175362,0.364911474,0.223175362,1,#DIV/0!
100,RandomForestcombined,ruby,305,0,663,0,968,0.315082645,0.479183032,0.315082645,1,#DIV/0!
100,RandomForestcombined,pingflood,59,0,4759,0,4818,0.012245745,0.024195202,0.012245745,1,#DIV/0!
100,RandomForestcombined,blacknurse,443,0,174,0,617,0.717990276,0.835849057,0.717990276,1,#DIV/0!
100,RandomForestcombined,xmas,8269,0,23558,0,31827,0.259810852,0.412460096,0.259810852,1,#DIV/0!
100,RandomForestcombined,udpflood,135,0,62868,0,63003,0.002142755,0.004276347,0.002142755,1,#DIV/0!
100,RandomForestcombined,synflood,4872,0,22718,0,27590,0.176585719,0.300166348,0.176585719,1,#DIV/0!
100,RandomForestfields,total,128466,11260795,10111,1,11399373,0.999112934,0.962133581,0.927036954,0.999992216,0.999999911
100,RandomForestfields,slowread,2641,0,2,0,2643,0.999243284,0.999621499,0.999243284,1,#DIV/0!
100,RandomForestfields,slowloris,7108,0,3,0,7111,0.999578118,0.999789015,0.999578118,1,#DIV/0!
100,RandomForestfields,ruby,964,0,4,0,968,0.995867769,0.997929607,0.995867769,1,#DIV/0!
100,RandomForestfields,pingflood,1198,0,3620,0,4818,0.248650892,0.398271277,0.248650892,1,#DIV/0!
100,RandomForestfields,blacknurse,617,0,0,0,617,1,1,1,1,#DIV/0!
100,RandomForestfields,xmas,31827,0,0,0,31827,1,1,1,1,#DIV/0!
100,RandomForestfields,udpflood,63000,0,3,0,63003,0.999952383,0.999976191,0.999952383,1,#DIV/0!
100,RandomForestfields,synflood,21111,0,6479,0,27590,0.765168539,0.866963717,0.765168539,1,#DIV/0!
100,entropySip,total,31,2007,139,691,2868,0.710599721,0.069506726,0.182352941,0.042936288,0.743884359
100,entropySip,slowread,9,0,49,0,58,0.155172414,0.268656716,0.155172414,1,#DIV/0!
100,entropySip,slowloris,5,0,30,0,35,0.142857143,0.25,0.142857143,1,#DIV/0!
100,entropySip,ruby,3,0,22,0,25,0.12,0.214285714,0.12,1,#DIV/0!
100,entropySip,pingflood,7,0,5,0,12,0.583333333,0.736842105,0.583333333,1,#DIV/0!
100,entropySip,blacknurse,1,0,9,0,10,0.1,0.181818182,0.1,1,#DIV/0!
100,entropySip,xmas,3,0,10,0,13,0.230769231,0.375,0.230769231,1,#DIV/0!
100,entropySip,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
100,entropySip,synflood,3,0,8,0,11,0.272727273,0.428571429,0.272727273,1,#DIV/0!
100,entropyRateSip,total,0,2698,170,0,2868,0.940725244,0,0,#DIV/0!,1
100,entropyRateSip,slowread,0,0,58,0,58,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateSip,slowloris,0,0,35,0,35,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateSip,ruby,0,0,25,0,25,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateSip,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateSip,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateSip,xmas,0,0,13,0,13,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateSip,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateSip,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
100,entropyDip,total,24,2101,146,597,2868,0.740934449,0.06068268,0.141176471,0.038647343,0.778724981
100,entropyDip,slowread,10,0,48,0,58,0.172413793,0.294117647,0.172413793,1,#DIV/0!
100,entropyDip,slowloris,4,0,31,0,35,0.114285714,0.205128205,0.114285714,1,#DIV/0!
100,entropyDip,ruby,6,0,19,0,25,0.24,0.387096774,0.24,1,#DIV/0!
100,entropyDip,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
