Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
6400,entropyDipSyn,total,64,4991,176,511,5742,0.880355277,0.157055215,0.266666667,0.111304348,0.965937681
6400,entropyDipSyn,slowread,18,0,69,0,87,0.206896552,0.342857143,,,
6400,entropyDipSyn,slowloris,22,0,38,0,60,0.366666667,0.536585366,,,
6400,entropyDipSyn,ruby,2,0,21,0,23,0.086956522,0.16,,,
6400,entropyDipSyn,pingflood,2,0,17,0,19,0.105263158,0.19047619,,,
6400,entropyDipSyn,blacknurse,3,0,12,0,15,0.2,0.333333333,,,
6400,entropyDipSyn,xmas,8,0,7,0,15,0.533333333,0.695652174,,,
6400,entropyDipSyn,udpflood,1,0,7,0,8,0.125,0.222222222,,,
6400,entropyDipSyn,synflood,8,0,5,0,13,0.615384615,0.761904762,,,
6400,entropyBiflow,total,12,4984,228,518,5742,0.870080111,0.031168831,0.05,0.022641509,0.956254797
6400,entropyBiflow,slowread,5,0,82,0,87,0.057471264,0.108695652,,,
6400,entropyBiflow,slowloris,0,0,60,0,60,0,0,,,
6400,entropyBiflow,ruby,0,0,23,0,23,0,0,,,
6400,entropyBiflow,pingflood,2,0,17,0,19,0.105263158,0.19047619,,,
6400,entropyBiflow,blacknurse,1,0,14,0,15,0.066666667,0.125,,,
6400,entropyBiflow,xmas,3,0,12,0,15,0.2,0.333333333,,,
6400,entropyBiflow,udpflood,1,0,7,0,8,0.125,0.222222222,,,
6400,entropyBiflow,synflood,0,0,13,0,13,0,0,,,
6400,entropyRateBiflow,total,21,5400,219,102,5742,0.944096134,0.115702479,0.0875,0.170731707,0.961025093
6400,entropyRateBiflow,slowread,0,0,87,0,87,0,0,,,
6400,entropyRateBiflow,slowloris,0,0,60,0,60,0,0,,,
6400,entropyRateBiflow,ruby,0,0,23,0,23,0,0,,,
6400,entropyRateBiflow,pingflood,6,0,13,0,19,0.315789474,0.48,,,
6400,entropyRateBiflow,blacknurse,8,0,7,0,15,0.533333333,0.695652174,,,
6400,entropyRateBiflow,xmas,1,0,14,0,15,0.066666667,0.125,,,
6400,entropyRateBiflow,udpflood,2,0,6,0,8,0.25,0.4,,,
6400,entropyRateBiflow,synflood,4,0,9,0,13,0.307692308,0.470588235,,,
6400,HigstNumberOfSyn,total,0,5461,240,41,5742,0.951062348,0,0,0,0.957902122
6400,HigstNumberOfSyn,slowread,0,0,87,0,87,0,0,,,
6400,HigstNumberOfSyn,slowloris,0,0,60,0,60,0,0,,,
6400,HigstNumberOfSyn,ruby,0,0,23,0,23,0,0,,,
6400,HigstNumberOfSyn,pingflood,0,0,19,0,19,0,0,,,
6400,HigstNumberOfSyn,blacknurse,0,0,15,0,15,0,0,,,
6400,HigstNumberOfSyn,xmas,0,0,15,0,15,0,0,,,
6400,HigstNumberOfSyn,udpflood,0,0,8,0,8,0,0,,,
6400,HigstNumberOfSyn,synflood,0,0,13,0,13,0,0,,,
6400,HigstNumberOfURGPSHFIN,total,10,5492,230,10,5742,0.958202717,0.076923077,0.041666667,0.5,0.959804264
6400,HigstNumberOfURGPSHFIN,slowread,0,0,87,0,87,0,0,,,
6400,HigstNumberOfURGPSHFIN,slowloris,0,0,60,0,60,0,0,,,
6400,HigstNumberOfURGPSHFIN,ruby,0,0,23,0,23,0,0,,,
6400,HigstNumberOfURGPSHFIN,pingflood,0,0,19,0,19,0,0,,,
6400,HigstNumberOfURGPSHFIN,blacknurse,0,0,15,0,15,0,0,,,
6400,HigstNumberOfURGPSHFIN,xmas,10,0,5,0,15,0.666666667,0.8,,,
6400,HigstNumberOfURGPSHFIN,udpflood,0,0,8,0,8,0,0,,,
6400,HigstNumberOfURGPSHFIN,synflood,0,0,13,0,13,0,0,,,
6400,countBiflow,total,36,5025,204,477,5742,0.881400209,0.09561753,0.15,0.070175439,0.960986804
6400,countBiflow,slowread,14,0,73,0,87,0.16091954,0.277227723,,,
6400,countBiflow,slowloris,0,0,60,0,60,0,0,,,
6400,countBiflow,ruby,0,0,23,0,23,0,0,,,
6400,countBiflow,pingflood,4,0,15,0,19,0.210526316,0.347826087,,,
6400,countBiflow,blacknurse,0,0,15,0,15,0,0,,,
6400,countBiflow,xmas,9,0,6,0,15,0.6,0.75,,,
6400,countBiflow,udpflood,5,0,3,0,8,0.625,0.769230769,,,
6400,countBiflow,synflood,4,0,9,0,13,0.307692308,0.470588235,,,
6400,totalicmpDUnreachable,total,18,5493,222,9,5742,0.959770115,0.134831461,0.075,0.666666667,0.961154856
6400,totalicmpDUnreachable,slowread,0,0,87,0,87,0,0,,,
6400,totalicmpDUnreachable,slowloris,0,0,60,0,60,0,0,,,
6400,totalicmpDUnreachable,ruby,0,0,23,0,23,0,0,,,
6400,totalicmpDUnreachable,pingflood,0,0,19,0,19,0,0,,,
6400,totalicmpDUnreachable,blacknurse,13,0,2,0,15,0.866666667,0.928571429,,,
